DOCUMENT_NO,DATE,CUSTOMER_NAME,TYPE,ITEM_NO,ITEM_DESCRIPTION,BAR_CODE,BRAND_NAME,ITEM_CATEGORY,QUANTITY,AMOUNT,UNIT_COST_LCY,SALESPERSON
320848,3/19/2014,QATAR AIRWAYS,Item,19501,LAMP KIT/78-6972-00083,20010,3M,CONSUMABLES,2,3080,907.32429,201
320848,3/19/2014,QATAR AIRWAYS,Item,19501,LAMP KIT/78-6972-00083,20010,3M,CONSUMABLES,1,1600,907.32429,201
342155,5/21/2014,QATAR AIRWAYS,Item,19501,LAMP KIT/78-6972-00083,20010,3M,CONSUMABLES,1,1600,894.72857,201
270103,10/3/2013,INTER CLEARING,Item,159,UNI 3M FIELD SERVICE VACCUME,20010,3M,SPARE PARTS,1,936.41,190.5959697,201
314073,2/26/2014,INTER CLEARING,Item,159,UNI 3M FIELD SERVICE VACCUME,20010,3M,SPARE PARTS,1,936.41,936.40667,201
356427,6/29/2014,AL BALAGH TRADING & CONTRACTING,Resource,CONTRACT,MAINTENANACE CHARGES (01.07.2014-30.09.2014),nan,CONTRACT,CONTRACT,1,1800,0,201
381115,9/15/2014,MAPCO INC QATAR,Resource,CONTRACT,MAINTENANCE CHARGES (25.08.2014-24.11.2014),nan,CONTRACT,CONTRACT,1,1800,0,201
379309,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#25582, BH C450)",nan,CONTRACT,CONTRACT,1,6400,0,201
379309,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#32070, BH 920)",nan,CONTRACT,CONTRACT,1,6450,0,201
379309,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#38846, BH C550)",nan,CONTRACT,CONTRACT,1,8950,0,201
379308,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#41162, BH 950)",nan,CONTRACT,CONTRACT,1,9750,0,201
379308,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#41163, BH 350)",nan,CONTRACT,CONTRACT,1,2750,0,201
379308,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#42218, BH 501)",nan,CONTRACT,CONTRACT,1,3525,0,201
379308,9/10/2014,ARAB ENGINEERING BUREAU,Resource,CONTRACT,"ANNUAL MAINTENANCE CHARGE (REF#42813, PW 350)",nan,CONTRACT,CONTRACT,1,10500,0,201
560324,11/24/2015,AERO FREIGHT SERVICES,Resource,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,272.52,0,201
436176,2/11/2015,ETA STAR INTERNATIONAL,CONTRACT,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,631,0,201
269288,9/30/2013,PARSONS INTERNATIONAL LIMITED,Resource,CONTRACT,CONTRACT,nan,CONTRACT,CONTRACT,1,2726,190.5959697,201
469517,4/29/2015,PARSONS INTERNATIONAL LIMITED,CONTRACT,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,750,0,201
416107,12/22/2014,PERMASTEELISA GARTNER,Resource,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,6233.4,0,201
416112,12/22/2014,PERMASTEELISA GARTNER,Resource,CONTRACT,Contract,nan,CONTRACT,CONTRACT,1,1050.4,0,201
